time,ax,ay,az,atotal
0.005610942840576172,-0.01,0.01,0.0,0.01
0.00789189338684082,0.01,0.01,0.02,0.02
0.017027854919433594,-0.01,0.02,0.04,0.04
0.017934799194335938,-0.01,0.01,0.02,0.02
0.01903676986694336,0.0,-0.01,0.01,0.01
0.03201770782470703,0.0,0.03,0.04,0.05
0.03295087814331055,0.02,0.02,0.06,0.06
0.04781484603881836,0.01,-0.01,0.01,0.01
0.04880785942077637,0.02,-0.02,0.0,0.02
0.06419897079467773,0.01,0.01,0.02,0.02
0.09835672378540039,0.02,0.01,0.04,0.04
0.09916400909423828,0.02,0.01,0.03,0.03
0.1155397891998291,0.01,0.01,0.02,0.02
0.11646366119384766,0.01,0.0,0.03,0.03
0.13134479522705078,-0.01,0.0,0.03,0.03
0.13216280937194824,-0.02,0.0,0.02,0.02
0.1329648494720459,-0.03,0.0,0.03,0.04
0.14710569381713867,-0.04,-0.01,0.03,0.05
0.14802074432373047,-0.04,0.01,0.03,0.05
0.14868593215942383,-0.02,0.0,0.03,0.03
0.1831369400024414,-0.03,-0.01,0.01,0.03
0.18396282196044922,-0.01,0.0,0.01,0.01
0.19918084144592285,-0.01,0.02,0.04,0.04
0.20020771026611328,0.0,0.01,0.02,0.02
0.21460485458374023,0.01,-0.01,0.02,0.02
0.21666383743286133,0.01,-0.01,0.02,0.02
0.21708178520202637,0.02,-0.01,0.0,0.02
0.21793389320373535,0.02,0.01,0.02,0.03
0.22977280616760254,0.02,0.01,0.02,0.03
0.2302558422088623,0.01,0.0,-0.01,0.01
0.26255273818969727,0.02,0.0,0.0,0.02
0.2636427879333496,0.0,0.02,-0.01,0.02
0.28156089782714844,0.0,0.02,-0.01,0.02
0.282153844833374,-0.01,0.02,-0.01,0.02
0.28296780586242676,0.01,-0.01,-0.05,0.05
0.29805588722229004,0.05,-0.02,-0.1,0.11
0.2993197441101074,0.01,0.0,-0.03,0.03
0.31349682807922363,0.0,0.02,0.05,0.05
0.31455087661743164,-0.06,0.04,-0.37,0.37
0.3317890167236328,0.56,-0.02,-0.82,0.99
0.36687469482421875,0.08,0.06,-0.49,0.5
0.36807870864868164,0.19,0.01,0.01,0.19
0.3835268020629883,-0.12,0.04,0.56,0.57
0.38448095321655273,-0.23,-0.03,1.02,1.04
0.39905500411987305,-0.51,0.03,0.94,1.06
0.4001278877258301,-0.1,-0.07,0.6,0.61
0.4133577346801758,-0.13,-0.05,0.57,0.58
0.4143199920654297,-0.3,0.02,0.37,0.47
0.42999267578125,-0.09,0.02,0.05,0.1
0.43099188804626465,-0.1,0.05,-0.38,0.39
0.4649658203125,-0.21,0.09,-0.76,0.79
