time,ax,ay,az,atotal
0.028600215911865234,0.35,-0.41,-0.64,0.83
0.029932022094726562,0.06,-0.17,-0.39,0.42
0.031199932098388672,-0.05,0.11,0.18,0.21
0.05080604553222656,-0.18,0.05,1.08,1.09
0.05198812484741211,-0.25,-0.09,1.85,1.86
0.06717705726623535,0.14,-0.05,2.17,2.17
0.06872415542602539,0.53,0.14,1.72,1.8
0.08208322525024414,0.54,0.26,1.45,1.56
0.08458709716796875,0.27,0.28,1.13,1.19
0.09962224960327148,-0.06,0.16,0.09,0.19
0.1261730194091797,0.16,0.29,-0.32,0.46
0.1278080940246582,-0.06,0.53,-1.09,1.21
0.12901806831359863,-0.13,0.21,-1.79,1.8
0.1343381404876709,0.54,0.3,-1.77,1.87
0.14994001388549805,0.85,0.2,-1.32,1.58
0.1542360782623291,0.83,-0.07,-0.44,0.94
0.1668381690979004,0.69,0.03,1.24,1.41
0.1746959686279297,0.67,0.15,2.71,2.79
0.1842670440673828,0.72,0.08,3.28,3.35
0.19423913955688477,0.72,-0.09,2.72,2.81
0.22768402099609375,0.92,-0.54,2.32,2.55
0.2290482521057129,0.57,-0.28,1.17,1.33
0.23080825805664062,0.24,-0.06,-0.18,0.3
0.23361706733703613,-0.19,0.4,-0.73,0.85
0.2438220977783203,-0.1,0.29,-1.54,1.57
0.25429606437683105,0.08,-0.15,-2.21,2.21
0.2638721466064453,0.15,-0.43,-2.62,2.65
0.27420806884765625,0.08,-0.57,-2.37,2.43
0.2842130661010742,0.25,-0.6,-1.93,2.03
0.2937459945678711,1.04,-0.82,-1.88,2.29
0.3263380527496338,1.52,-1.62,-2.31,3.2
0.3276231288909912,1.59,-1.91,-2.72,3.68
0.3289461135864258,1.91,-1.9,-3.43,4.36
0.33344006538391113,2.09,-2.19,-4.35,5.29
0.3503599166870117,1.33,-2.04,-4.52,5.13
0.35334205627441406,-0.31,-1.27,-1.98,2.37
0.36613011360168457,-4.61,1.84,6.05,7.82
0.3739190101623535,-7.72,5.68,7.52,12.18
0.38358020782470703,-4.3,5.28,2.56,7.27
0.39342498779296875,-0.33,1.14,-1.86,2.2
0.426699161529541,0.15,-1.38,-1.12,1.78
0.42810511589050293,0.82,-1.12,0.47,1.46
0.43004322052001953,1.8,-0.39,0.11,1.84
0.43337392807006836,2.37,-1.09,0.15,2.61
0.44329214096069336,2.5,-2.7,-0.05,3.68
0.45325708389282227,1.89,-2.48,0.0,3.11
0.46296024322509766,1.46,-1.57,0.4,2.18
0.4730839729309082,0.91,-0.45,0.75,1.26
0.483583927154541,0.55,0.29,0.69,0.92
0.49291324615478516,-0.27,0.54,0.22,0.64
0.5292971134185791,-1.78,1.33,-0.58,2.29
0.5307402610778809,-2.62,2.11,-0.75,3.44
0.5318479537963867,-1.19,1.4,-0.64,1.94
0.5511722564697266,0.36,0.47,0.48,0.76
0.5527482032775879,0.61,0.09,1.35,1.48
0.5666401386260986,0.45,0.12,1.84,1.89
0.5682039260864258,1.04,-0.15,2.33,2.55
0.5821950435638428,0.97,-0.31,2.05,2.28
0.5836770534515381,0.74,0.14,0.91,1.18
0.5990431308746338,0.54,0.68,0.66,1.09
0.6278700828552246,0.52,0.56,0.53,0.93
0.6298031806945801,0.32,0.14,0.3,0.46
0.6311979293823242,-0.6,-0.2,0.34,0.71
0.6332011222839355,-0.97,-0.82,-0.48,1.35
0.6420822143554688,-0.24,-0.2,-0.96,1.0
0.6525590419769287,0.39,0.17,-0.35,0.55
0.6620891094207764,0.41,-0.17,0.28,0.52
0.6722891330718994,0.46,-0.23,0.35,0.62
0.682016134262085,0.41,0.04,0.06,0.41
0.6921529769897461,0.34,0.26,-0.34,0.54
0.726323127746582,0.12,0.16,-0.52,0.55
0.728240966796875,0.24,0.08,-0.46,0.52
0.7296221256256104,0.79,0.56,-0.7,1.19
0.7330300807952881,0.7,0.96,-1.23,1.71
0.7416071891784668,-0.2,0.99,-1.48,1.79
0.7523820400238037,-1.01,0.64,-1.12,1.63
0.7618451118469238,0.16,-0.92,-0.18,0.95
0.7718350887298584,-0.64,-1.04,0.59,1.35
0.7816810607910156,0.47,-1.33,-0.07,1.41
0.7916121482849121,-0.94,-0.23,-0.1,0.97
0.826725959777832,0.13,-0.29,-0.46,0.55
0.8283030986785889,-0.18,-0.75,0.15,0.78
0.8293490409851074,-0.43,-0.08,-0.29,0.52
0.8327610492706299,0.29,-0.71,-0.3,0.82
0.8414149284362793,-0.84,0.16,-0.13,0.86
0.8518209457397461,-0.32,0.1,-0.66,0.74
0.86114501953125,-1.04,-0.23,0.11,1.07
0.8714790344238281,-0.81,-0.35,0.09,0.88
0.8812661170959473,-0.83,-0.53,0.38,1.05
0.8912081718444824,-0.74,-0.37,0.09,0.83
0.9276089668273926,-0.57,-0.26,-0.07,0.63
0.9291930198669434,-0.61,0.0,-0.01,0.61
0.9302482604980469,-0.73,0.06,0.05,0.73
0.9325079917907715,-0.74,-0.06,-0.07,0.74
0.940701961517334,-0.9,-0.01,-0.37,0.97
0.9510600566864014,-1.02,0.15,-0.77,1.28
0.9609620571136475,-0.68,-0.14,-0.52,0.86
0.970947265625,-1.44,0.89,-0.39,1.73
0.9807851314544678,-0.77,0.44,-0.72,1.14
0.9907970428466797,-0.9,0.27,-0.51,1.06
1.0257971286773682,-1.05,0.42,-0.36,1.18
1.0272259712219238,-0.93,0.3,-0.2,0.99
1.028374195098877,-0.8,0.31,-0.06,0.86
1.033431053161621,-0.71,0.52,0.03,0.88
1.052293062210083,-0.7,0.63,0.0,0.94
1.0538430213928223,-0.65,0.63,0.05,0.9
1.0661470890045166,-0.59,0.37,0.21,0.72
1.0704941749572754,-0.58,0.2,0.28,0.67
1.0826811790466309,-0.57,0.32,0.29,0.71
1.0904202461242676,-0.51,0.65,0.28,0.87
1.1262390613555908,-0.3,0.73,0.21,0.81
1.1273810863494873,-0.24,0.73,0.21,0.79
1.1284661293029785,-0.16,0.67,0.4,0.79
1.1323471069335938,0.24,0.81,0.27,0.88
1.1511292457580566,0.31,0.52,0.14,0.62
1.1528301239013672,0.22,0.31,0.21,0.43
1.1660752296447754,-0.19,0.25,0.16,0.35
1.1704161167144775,-0.46,-0.05,0.05,0.46
1.1826119422912598,-0.46,-0.16,0.27,0.55
1.1899490356445312,-0.33,-0.25,0.48,0.63
1.224740982055664,-0.29,-0.38,0.41,0.62
1.2259912490844727,-0.25,-0.38,0.28,0.53
1.2271771430969238,-0.16,-0.26,-0.07,0.31
1.2331421375274658,-0.47,0.53,-0.41,0.81
1.239699125289917,0.03,-0.01,-0.73,0.73
1.2505080699920654,0.29,-0.43,-0.57,0.77
1.2596430778503418,0.1,-0.28,-0.19,0.35
1.2700939178466797,-0.13,-0.57,-0.03,0.58
1.2796790599822998,-0.36,-0.57,0.02,0.67
1.2896311283111572,-0.45,-0.5,0.08,0.67
1.3255009651184082,-0.48,-0.3,0.01,0.56
1.3270082473754883,-0.3,-0.2,-0.08,0.36
1.3281712532043457,-0.12,-0.15,-0.11,0.22
1.3330812454223633,-0.03,-0.18,-0.04,0.18
1.351120948791504,0.01,-0.21,0.14,0.25
1.3522272109985352,0.26,-0.43,0.29,0.58
1.366028070449829,0.15,0.3,0.37,0.49
1.369136095046997,-0.09,0.59,0.04,0.59
1.3834121227264404,0.44,-0.01,0.24,0.5
1.389003038406372,0.25,0.26,0.14,0.38
1.425422191619873,0.24,0.27,0.21,0.41
1.426621913909912,0.3,0.27,0.2,0.45
1.4278581142425537,0.45,0.26,0.27,0.58
1.432974100112915,0.58,0.32,0.2,0.69
1.4386661052703857,0.48,0.6,-0.1,0.77
1.4505820274353027,0.47,0.57,-0.15,0.75
1.4588890075683594,0.3,0.31,0.16,0.46
1.4686920642852783,0.32,0.31,0.68,0.81
1.478982925415039,0.62,0.27,1.16,1.34
1.4887971878051758,0.82,0.33,1.22,1.5
1.523618221282959,1.03,0.5,0.93,1.47
1.5250649452209473,1.26,0.75,0.33,1.5
1.5261602401733398,1.66,1.13,-0.18,2.01
1.5343852043151855,2.02,1.19,-0.18,2.35
1.5385279655456543,1.85,1.0,-0.28,2.12
1.550368070602417,1.49,0.26,-0.98,1.8
1.5581469535827637,0.91,-0.72,-0.45,1.24
1.5684752464294434,0.14,-0.67,0.7,0.97
1.5785331726074219,0.3,-0.42,1.59,1.67
1.588874101638794,0.04,-0.65,1.43,1.57
1.6244330406188965,-0.86,-0.9,0.14,1.25
1.6259300708770752,-1.4,-0.71,-0.6,1.68
1.6270990371704102,-1.33,0.2,-0.11,1.34
1.633608102798462,-0.32,0.31,0.55,0.7
1.6380150318145752,0.25,0.09,0.26,0.37
1.6502900123596191,0.47,-0.15,-0.6,0.77
1.6577730178833008,0.64,-0.37,-1.51,1.68
1.6677711009979248,0.7,-0.41,-2.11,2.26
1.677861213684082,0.81,-0.4,-2.08,2.26
1.6882250308990479,-0.12,-0.18,-2.66,2.66
1.7226340770721436,-0.29,-0.06,-3.07,3.08
1.7240991592407227,0.16,-0.02,-2.51,2.51
1.7252020835876465,0.5,-0.38,-1.81,1.91
1.7348480224609375,1.13,-1.26,-1.1,2.01
1.737281084060669,0.48,-1.92,-0.69,2.09
1.7581720352172852,-0.72,-1.76,-0.58,1.98
1.7598850727081299,-1.8,-1.74,-0.36,2.52
1.7676920890808105,-3.14,-1.84,-0.16,3.64
1.7778382301330566,-3.7,-2.85,-0.44,4.69
1.7877891063690186,1.18,-9.58,-0.2,9.65
1.81831693649292,-2.97,-5.17,-1.81,6.23
1.8197669982910156,-4.12,-2.35,-4.41,6.47
1.8209121227264404,-4.82,2.52,-0.99,5.52
1.8341832160949707,-1.59,2.28,0.55,2.83
1.837104082107544,2.01,-2.02,0.27,2.86
1.850649118423462,4.47,-2.85,-0.24,5.3
1.857172966003418,5.09,-1.83,1.12,5.52
