time,ax,ay,az,atotal
0.011490106582641602,0.17,-0.11,-0.87,0.89
0.01575303077697754,0.1,-0.38,-0.95,1.02
0.025043964385986328,0.1,-0.5,-0.75,0.9
0.03536510467529297,0.05,-0.48,-0.23,0.53
0.04472208023071289,0.04,-0.32,0.3,0.44
0.05518817901611328,-0.09,-0.09,0.57,0.58
0.07504606246948242,-0.26,0.15,0.54,0.61
0.07691717147827148,-0.36,0.37,0.53,0.73
0.08501505851745605,-0.28,0.51,0.57,0.81
0.09471321105957031,-0.1,0.67,0.75,1.01
0.10489010810852051,0.13,0.57,0.98,1.14
0.11504006385803223,0.21,0.13,1.07,1.09
0.12464618682861328,0.36,-0.19,1.16,1.22
0.13494014739990234,0.57,-0.31,1.06,1.24
0.1449570655822754,0.9,-0.2,0.67,1.13
0.15485811233520508,0.9,-0.14,0.08,0.91
0.17544221878051758,0.57,-0.24,-0.36,0.71
0.17738819122314453,0.5,-0.4,-0.57,0.85
0.18430709838867188,0.51,-0.46,-0.57,0.89
0.19432401657104492,0.58,-0.59,-0.39,0.91
0.20465707778930664,0.62,-0.81,-0.02,1.02
0.21448111534118652,0.75,-0.88,0.38,1.21
0.22394609451293945,0.8,-0.97,0.61,1.39
0.2344069480895996,0.81,-1.02,0.58,1.42
0.24507713317871094,0.76,-0.94,0.47,1.29
0.25451111793518066,0.69,-0.79,0.39,1.11
0.27626514434814453,0.71,-0.62,0.29,0.98
0.27812623977661133,0.76,-0.51,0.04,0.91
0.2839021682739258,0.7,-0.35,-0.34,0.85
0.29371213912963867,0.67,-0.3,-0.81,1.09
0.30390214920043945,0.51,-0.28,-0.99,1.14
0.3141000270843506,0.23,-0.31,-0.75,0.84
0.3237431049346924,0.14,-0.19,-0.33,0.4
0.334165096282959,0.0,-0.06,-0.31,0.31
0.34386110305786133,-1.02,0.88,-0.49,1.43
0.3552379608154297,-1.5,2.33,-0.89,2.91
0.3789691925048828,-0.82,1.56,-0.6,1.86
0.3808121681213379,0.33,-0.6,0.47,0.83
0.3832869529724121,-0.1,0.45,0.52,0.69
0.40117692947387695,0.06,-0.02,0.67,0.67
0.4032931327819824,-0.27,-0.41,0.44,0.65
0.41625118255615234,-0.21,-0.21,-0.13,0.32
0.4236900806427002,0.0,-0.42,-1.02,1.1
0.4338111877441406,0.24,-0.57,-1.91,2.0
0.4444432258605957,0.47,-0.54,-2.37,2.47
0.45471715927124023,0.67,-0.64,-2.23,2.41
0.47794198989868164,0.71,-0.78,-1.61,1.92
0.4798591136932373,-0.15,-0.43,0.15,0.47
0.4830920696258545,-0.83,0.12,2.36,2.5
0.4928910732269287,0.15,-0.83,1.36,1.6
0.5033092498779297,0.83,-1.36,0.27,1.61
0.5128281116485596,0.76,-1.18,0.2,1.41
0.5232760906219482,0.48,-0.85,0.38,1.04
0.533149242401123,0.17,-0.56,0.57,0.81
0.5438871383666992,0.0,-0.3,0.38,0.48
0.5535750389099121,0.05,-0.13,0.09,0.16
0.5772571563720703,0.13,-0.24,0.27,0.38
0.5790629386901855,0.01,-0.04,0.27,0.27
0.5828170776367188,-0.34,0.72,0.09,0.8
0.5926051139831543,-0.41,1.46,-0.06,1.51
0.6027610301971436,-0.33,1.91,-0.34,1.96
0.6125810146331787,-0.14,1.98,-0.2,1.99
0.6228599548339844,-0.11,1.73,0.18,1.74
0.6328170299530029,-0.28,1.39,0.52,1.51
0.6425619125366211,-0.32,1.17,1.07,1.61
0.6525769233703613,-0.3,0.97,0.73,1.25
0.669511079788208,-0.34,0.53,0.62,0.88
0.6719889640808105,-0.45,0.15,0.86,0.98
0.682380199432373,-0.34,-0.25,1.16,1.23
0.6925930976867676,-0.12,-0.57,1.34,1.46
0.7024080753326416,-0.07,-0.77,1.16,1.39
0.7119460105895996,-0.13,-1.09,0.51,1.21
