time,ax,ay,az,atotal
0.011099100112915039,0.04,-0.18,-1.01,1.02
0.013647079467773438,0.0,-0.14,-1.36,1.36
0.023862123489379883,-0.09,-0.02,-1.04,1.04
0.03403520584106445,-0.19,-0.02,-0.41,0.45
0.057824134826660156,-0.21,0.0,0.21,0.29
0.06021928787231445,-0.12,0.06,0.65,0.66
0.06363296508789062,0.02,0.09,0.85,0.85
0.07308411598205566,0.1,0.1,1.01,1.01
0.08383417129516602,0.06,0.16,1.18,1.19
0.09348821640014648,-0.02,0.14,1.28,1.28
0.10355210304260254,-0.06,0.15,1.44,1.44
0.11355304718017578,-0.02,0.18,1.24,1.25
0.12353110313415527,0.06,0.12,0.77,0.78
0.1338481903076172,0.07,0.09,0.32,0.33
0.15738415718078613,0.16,0.19,0.23,0.33
0.15942001342773438,-0.07,0.08,0.18,0.2
0.1629962921142578,-0.07,-0.33,-0.39,0.51
0.1729750633239746,0.34,-0.4,-1.05,1.17
0.1833209991455078,0.37,-0.11,-1.38,1.43
0.19317626953125,0.29,-0.14,-1.18,1.22
0.20316410064697266,0.1,-0.31,-0.57,0.65
0.21460819244384766,-0.05,-0.23,0.08,0.24
0.22276711463928223,0.01,-0.12,0.39,0.4
0.23298406600952148,0.06,-0.03,0.56,0.56
0.25722813606262207,0.06,-0.02,0.73,0.73
0.2591850757598877,0.06,-0.03,1.03,1.03
0.26253223419189453,-0.01,-0.01,1.33,1.33
0.27323007583618164,-0.08,-0.05,1.06,1.06
0.28252124786376953,-0.08,-0.1,0.65,0.66
0.2924079895019531,-0.05,-0.21,0.15,0.26
0.3030390739440918,0.0,-0.34,-0.41,0.53
0.3124542236328125,0.05,-0.46,-0.83,0.95
0.3232541084289551,0.07,-0.49,-1.03,1.14
0.33321309089660645,0.02,-0.41,-1.15,1.22
0.3591780662536621,-0.04,-0.32,-1.13,1.17
0.36150312423706055,-0.04,-0.24,-0.96,0.99
0.3632991313934326,-0.04,-0.24,-0.77,0.8
0.3721742630004883,0.01,-0.27,-0.61,0.66
0.3828861713409424,0.05,-0.26,-0.37,0.45
0.39182209968566895,0.05,-0.18,-0.22,0.28
0.4021949768066406,-0.02,-0.16,0.04,0.16
0.4130361080169678,-0.11,-0.18,0.31,0.37
0.4225161075592041,-0.16,-0.14,0.56,0.59
0.43271708488464355,-0.14,-0.13,0.59,0.62
0.4594540596008301,0.13,-0.27,0.55,0.62
0.46177196502685547,-0.08,-0.29,0.16,0.34
0.4641721248626709,-0.29,0.07,-0.25,0.38
0.47186899185180664,0.07,-0.16,-0.24,0.29
0.48220396041870117,0.22,-0.36,-0.32,0.52
