time,ax,ay,az,atotal
0.028963088989257812,-0.21,-0.08,-1.64,1.65
0.030107975006103516,-0.26,0.03,-1.16,1.18
0.031241178512573242,-0.14,0.06,-0.61,0.62
0.05208611488342285,-0.04,0.02,-0.1,0.1
0.053297996520996094,0.09,-0.01,0.43,0.43
0.06710100173950195,0.19,-0.06,0.91,0.93
0.06827712059020996,0.26,-0.07,1.15,1.18
0.08276700973510742,0.26,0.0,1.12,1.14
0.08653926849365234,0.14,0.04,0.92,0.93
0.09905624389648438,0.03,0.07,0.7,0.7
0.12750530242919922,-0.03,0.03,0.44,0.44
0.1290283203125,-0.08,0.02,0.12,0.14
0.13018131256103516,-0.05,0.03,-0.17,0.17
0.1364421844482422,0.01,-0.01,-0.37,0.37
0.14651203155517578,0.0,-0.08,-0.44,0.44
0.15640020370483398,-0.02,-0.08,-0.39,0.39
0.16664505004882812,-0.05,-0.06,-0.28,0.29
0.1766190528869629,-0.06,-0.02,-0.11,0.12
0.18674898147583008,-0.03,0.05,0.03,0.06
0.19631004333496094,0.01,0.11,0.1,0.14
0.2323460578918457,0.04,0.12,0.17,0.21
0.23378896713256836,-0.04,0.1,0.19,0.21
0.23466110229492188,-0.08,0.05,0.16,0.18
0.2516140937805176,-0.04,-0.02,0.0,0.04
0.25317811965942383,-0.01,0.0,-0.19,0.19
0.2673530578613281,-0.02,0.0,-0.17,0.17
0.26877403259277344,0.01,-0.06,-0.04,0.07
0.2818641662597656,0.05,-0.09,0.07,0.12
0.28620100021362305,0.06,-0.07,0.14,0.16
0.2989921569824219,0.09,-0.04,0.11,0.14
0.3292102813720703,0.09,-0.04,0.04,0.1
0.3305470943450928,0.02,0.0,0.01,0.02
0.331510066986084,-0.06,0.06,0.01,0.08
0.3506741523742676,-0.09,0.08,0.03,0.12
0.3517751693725586,-0.1,0.04,-0.01,0.1
0.36699819564819336,-0.1,-0.01,-0.07,0.12
0.36836910247802734,-0.08,-0.02,-0.09,0.12
0.38300323486328125,-0.04,-0.04,-0.02,0.06
0.38521528244018555,0.03,-0.04,0.11,0.12
0.39842915534973145,0.06,-0.04,0.21,0.22
0.4301161766052246,0.08,-0.08,0.16,0.19
0.43158817291259766,0.07,-0.05,0.1,0.13
0.4326601028442383,0.0,0.01,0.05,0.05
0.45343708992004395,-0.08,0.05,0.01,0.09
0.455111026763916,-0.08,0.04,-0.05,0.1
0.46779918670654297,-0.01,0.04,-0.12,0.12
0.469163179397583,0.04,0.04,-0.1,0.11
0.4823002815246582,-0.01,0.03,-0.05,0.05
0.48489904403686523,-0.11,0.03,-0.02,0.11
0.5002613067626953,-0.15,0.01,0.09,0.17
0.5304591655731201,-0.07,0.0,0.21,0.22
0.5319352149963379,0.09,-0.07,0.24,0.26
0.5330431461334229,0.27,-0.11,0.25,0.38
0.5516421794891357,0.27,-0.12,0.17,0.34
0.5531539916992188,0.12,-0.09,0.04,0.15
0.5673091411590576,-0.1,0.01,-0.14,0.17
0.5688591003417969,-0.22,0.06,-0.3,0.37
0.5826210975646973,-0.18,0.02,-0.39,0.43
0.5845670700073242,-0.15,0.05,-0.32,0.35
0.5984373092651367,-0.13,0.09,-0.15,0.21
0.6297531127929688,-0.07,0.06,0.06,0.11
0.6311671733856201,0.03,0.01,0.26,0.26
0.6322569847106934,0.1,0.0,0.45,0.46
0.6515882015228271,0.1,-0.02,0.51,0.52
0.6525640487670898,0.1,-0.06,0.36,0.37
0.6671280860900879,0.06,-0.04,0.12,0.13
0.6686151027679443,0.0,-0.03,-0.07,0.07
0.6823892593383789,-0.05,-0.02,-0.21,0.21
0.6840901374816895,-0.09,-0.02,-0.28,0.29
0.6986770629882812,-0.09,-0.01,-0.2,0.21
0.7285699844360352,-0.05,-0.01,-0.03,0.05
0.7299160957336426,0.0,-0.03,0.15,0.15
0.7310752868652344,0.07,-0.05,0.25,0.26
0.7522172927856445,0.07,-0.03,0.3,0.3
0.753690242767334,0.04,-0.02,0.31,0.31
0.7664542198181152,0.02,-0.01,0.21,0.21
0.7678732872009277,0.02,0.03,0.15,0.15
0.7823600769042969,-0.01,0.05,0.09,0.1
0.783764123916626,-0.01,0.01,0.03,0.03
0.7994771003723145,-0.01,-0.02,-0.07,0.07
0.8290243148803711,-0.05,-0.01,-0.17,0.17
0.8304011821746826,-0.04,-0.01,-0.19,0.19
0.8313512802124023,0.02,0.01,-0.14,0.14
0.8515939712524414,0.01,0.07,-0.09,0.11
0.8532531261444092,-0.02,0.07,0.01,0.07
0.8678922653198242,-0.07,0.0,0.12,0.13
0.8693192005157471,-0.12,0.04,0.12,0.17
0.882810115814209,-0.07,0.07,0.04,0.1
0.8844211101531982,0.02,0.13,0.01,0.13
0.9005942344665527,0.03,0.17,0.09,0.19
0.9298911094665527,0.0,0.11,0.19,0.21
0.9312701225280762,-0.04,0.0,0.14,0.14
0.9322421550750732,0.0,-0.11,-0.07,0.13
0.9510221481323242,0.1,-0.09,-0.24,0.27
0.9520611763000488,0.18,-0.01,-0.24,0.3
